 Year  NAO  SST34   T(C)    TSNW(inch)
1932  -0.500 -0.1325  -0.5222  26.5000
1933   0.250 -0.1975  -1.9779  23.2000
1934   0.860 -0.9600  -4.5995  45.0000
1935   0.970 -0.2300  -3.0571  37.5000
1936  -3.890  0.3275  -5.3248  43.6000
1937   0.720  0.2500  -2.4367  18.0000
1938   1.790  0.0700  -2.1019  43.7000
1939   0.370 -0.7875  -2.6799  53.5000
1940  -2.860  0.9800  -3.9154  39.5000
1941  -2.310  1.4100  -3.4382  39.5000
1942  -0.550  0.6950  -2.2198  35.9000
1943   1.480 -1.1525  -4.5128  52.9000
1944   0.610 -0.1925  -2.6948  25.3000
1945   1.640 -0.4400  -2.6271  32.1000
1946   0.270 -0.3650  -1.8482  35.9000
1947  -2.710  0.1700  -3.4758  54.0000
1951  -1.260 -0.8925  -3.3629  42.6000
1952   0.830  0.3725  -2.5309  76.8000
1953   0.180  0.0950  -0.8761  27.0000
1954   0.130  0.2225  -1.6850  44.9000
1955  -2.520 -0.7325  -3.0869  37.5000
1956  -1.730 -1.1325  -3.7823  43.0000
1957   1.520 -0.2950  -2.5259  36.9000
1958  -1.020  1.3050  -2.9444  40.4000
1959  -0.370  0.4025  -5.6297  41.2000
1960  -1.540 -0.0600  -3.3684  53.5000
1961   1.800 -0.0200  -3.0009  31.9000
1962  -2.380 -0.2475  -4.3692  42.7000
1963  -3.600 -0.2550  -5.7113  46.1000
1964  -2.860  0.5750  -3.2440  37.5000
1965  -2.880 -0.5525  -4.3654  71.2000
1966  -1.690  1.0875  -2.2236  35.2000
1967   1.280 -0.4325  -3.4920  96.4000
1968  -1.040 -0.5850  -2.9758  41.5000
1969  -4.890  0.8525  -3.6764  55.9000
1970  -1.890  0.4925  -4.9572  65.7000
1971  -0.960 -1.2625  -4.2727  38.4000
1972   0.340 -0.4575  -3.6334  52.2000
1973   2.520  1.3900  -1.5671  52.9000
1974   1.230 -1.7550  -3.3671  40.4000
1975   1.630 -0.5100  -2.5723  56.8000
1976   1.370 -1.2625  -2.3248  44.1000
1977  -2.140  0.6350  -5.3583  38.7000
1978   0.170  0.6200  -6.4685  61.8000
1979  -2.250  0.1150  -5.3836  64.4000
1980   0.560  0.4475  -3.6857  38.6000
1981   2.050 -0.1125  -3.6316  46.9000
1982   0.800  0.0025  -5.1357  85.3000
1983   3.420  2.1975  -0.4124  27.9000
1984   1.600 -0.6625  -5.0490  68.4000
1985  -0.630 -1.0450  -3.0694  68.5000
1986   0.500 -0.5525  -3.8639  65.2000
1987  -0.750  1.1750  -1.3880  47.8000
1988   0.720  0.6250  -3.2995  48.3000
1989   5.080 -1.6300  -3.1634  48.5000
1990   3.960  0.1425  -2.6035  48.7000
1991   1.030  0.3400  -1.9478  31.2000
1992   3.280  1.6150  -1.9494  49.3000
1993   2.670  0.3350  -3.2983  75.3000
1994   3.030  0.0275  -5.3226  47.2000
1995   3.960  0.9500  -1.9236  34.4000
1996  -3.780 -0.6000  -4.9695  52.7000
1997  -0.170 -0.2600  -2.8964  63.2000
1998   0.720  2.1000  -0.1936  38.6000
1999   1.700 -1.3125  -2.0105  47.5000
2000   2.800 -1.5050  -1.0786  48.8000
2001  -1.900 -0.7000  -4.0416  88.5000
2002   0.760 -0.0950  -0.6199  61.7000
2003   0.200  0.9050  -4.3684  61.8000
2004  -0.070  0.1900  -2.8373  50.0000
2007   2.790  0.4450  -2.0223  97.5000
2008   2.100 -1.5325  -3.7359  93.0000
2009  -0.410 -0.8075  -4.2892 109.6000
2010  -4.640  1.4000  -2.3716  73.1000
2011  -1.570 -1.3675  -4.4049  56.7000
2012   3.170 -0.7375   1.1007  54.0000
2013  -1.970 -0.2450  -2.4592  58.7000
2014   3.100 -0.2275  -7.3619 106.8000
2015   3.560  0.6325  -5.4843  70.7000
