 Year  NAO  SST34   T(C)    TSNW(inch)
1932 -0.500 -0.1325  -0.5222  61.0000
1933  0.250 -0.1975  -1.9779  68.0000
1934  0.860 -0.9600  -4.5995  91.0000
1935  0.970 -0.2300  -3.0571  64.5000
1936 -3.890  0.3275  -5.3248  86.0000
1937  0.720  0.2500  -2.4367  56.0000
1938  1.790  0.0700  -2.1019  79.0000
1939  0.370 -0.7875  -2.6799  79.0000
1940 -2.860  0.9800  -3.9154  73.5000
1941 -2.310  1.4100  -3.4382  64.0000
1942 -0.550  0.6950  -2.2198  74.0000
1943  1.480 -1.1525  -4.5128 112.5000
1944  0.610 -0.1925  -2.6948  60.0000
1945  1.640 -0.4400  -2.6271  66.8000
1946  0.270 -0.3650  -1.8482  71.0000
1947 -2.710  0.1700  -3.4758  76.5000
1948  1.340  0.3400  -4.3548  82.0000
1955 -2.520 -0.7325  -3.0869  79.0000
1956 -1.730 -1.1325  -3.7823  90.5000
1957  1.520 -0.2950  -2.5259  77.5000
1958 -1.020  1.3050  -2.9444  58.0000
1961  1.800 -0.0200  -3.0009  74.1000
1962 -2.380 -0.2475  -4.3692 114.0000
1964 -2.860  0.5750  -3.2440  94.7000
1965 -2.880 -0.5525  -4.3654 116.3000
1966 -1.690  1.0875  -2.2236  58.5000
1967  1.280 -0.4325  -3.4920  88.3000
1968 -1.040 -0.5850  -2.9758  92.5000
1969 -4.890  0.8525  -3.6764 116.6000
1970 -1.890  0.4925  -4.9572 107.6000
1971 -0.960 -1.2625  -4.2727  92.5000
1972  0.340 -0.4575  -3.6334 110.4000
1973  2.520  1.3900  -1.5671  73.0000
1975  1.630 -0.5100  -2.5723  88.0000
1976  1.370 -1.2625  -2.3248 113.0000
1977 -2.140  0.6350  -5.3583 107.2000
1978  0.170  0.6200  -6.4685  87.4000
1981  2.050 -0.1125  -3.6316  97.5000
1982  0.800  0.0025  -5.1357  92.0000
1983  3.420  2.1975  -0.4124  25.3000
1984  1.600 -0.6625  -5.0490 108.0000
1985 -0.630 -1.0450  -3.0694 154.6000
1986  0.500 -0.5525  -3.8639 131.8000
1987 -0.750  1.1750  -1.3880  68.6000
1988  0.720  0.6250  -3.2995 101.8000
1989  5.080 -1.6300  -3.1634 126.9000
1990  3.960  0.1425  -2.6035 150.5000
1991  1.030  0.3400  -1.9478 122.6000
1992  3.280  1.6150  -1.9494 100.6000
1993  2.670  0.3350  -3.2983  92.5000
1994  3.030  0.0275  -5.3226 132.8000
1995  3.960  0.9500  -1.9236  89.4000
1996 -3.780 -0.6000  -4.9695 159.9000
1997 -0.170 -0.2600  -2.8964 143.8000
1998  0.720  2.1000  -0.1936  77.4000
1999  1.700 -1.3125  -2.0105  98.2000
2000  2.800 -1.5050  -1.0786  84.6000
2001 -1.900 -0.7000  -4.0416 166.8000
2002  0.760 -0.0950  -0.6199 159.9000
2003  0.200  0.9050  -4.3684 145.9000
2004 -0.070  0.1900  -2.8373 115.8000
2005  0.120  0.4800  -3.5556 111.6000
2006 -1.090 -0.7675  -1.7609 147.9000
2007  2.790  0.4450  -2.0223 148.1000
2008  2.100 -1.5325  -3.7359 131.3000
2009 -0.410 -0.8075  -4.2892 183.4000
2010 -4.640  1.4000  -2.3716  86.2000
2011 -1.570 -1.3675  -4.4049 133.7000
2012  3.170 -0.7375   1.1007  76.5000
2013 -1.970 -0.2450  -2.4592 148.4000
2014  3.100 -0.2275  -7.3619 133.6000
2015  3.560  0.6325  -5.4843 112.4000
